name,ID,status,group,metric,unit,date
Fan1,30h,ok,7.1,3240,RPM,2023-10-18 00:16:01.064466
Fan2,31h,ok,7.1,3240,RPM,2023-10-18 00:16:01.064466
Fan3,32h,ok,7.1,3240,RPM,2023-10-18 00:16:01.064466
Fan4,33h,ok,7.1,3240,RPM,2023-10-18 00:16:01.064466
Fan5,34h,ok,7.1,3720,RPM,2023-10-18 00:16:01.064466
Fan6,35h,ok,7.1,3720,RPM,2023-10-18 00:16:01.064466
InletTemp,04h,ok,7.1,21,degreesC,2023-10-18 00:16:01.064466
ExhaustTemp,01h,ok,7.1,26,degreesC,2023-10-18 00:16:01.064466
Temp,0Eh,ok,3.1,37,degreesC,2023-10-18 00:16:01.064466
Temp,0Fh,ok,3.2,37,degreesC,2023-10-18 00:16:01.064466
Current1,6Ah,ok,10.1,"0,40",Amps,2023-10-18 00:16:01.064466
Voltage1,6Ch,ok,10.1,242,Volts,2023-10-18 00:16:01.064466
PwrConsumption,77h,ok,7.1,112,Watts,2023-10-18 00:16:01.064466
